"","site","date","depth_of_measure_cm","temp_c","do_mg_l","sampling_zone"
"1","LB",2023-06-29,20,21.4,7.5,"center"
"2","LB",2023-06-29,40,20.3,7.8,"center"
"3","LB",2023-06-29,60,19.3,8.1,"center"
"4","LB",2023-06-29,80,19,8,"center"
"5","LB",2023-06-29,100,18.6,7.9,"center"
"6","LB",2023-06-29,120,18.4,7.9,"center"
"7","LB",2023-06-29,140,18.1,7.5,"center"
"8","LB",2023-06-29,160,17.3,7.3,"center"
"9","LB",2023-06-29,180,16.6,7.2,"center"
"10","LB",2023-06-29,200,16,7,"center"
"11","LB",2023-06-29,220,14.4,5.8,"center"
"12","LB",2023-06-29,240,12.6,3.5,"center"
"13","LB",2023-06-29,260,11.5,0.5,"center"
"14","LB",2023-06-29,280,11.4,0.6,"center"
"15","LB",2023-06-29,300,11.1,0.5,"center"
"16","BB",2023-06-29,20,20.7,7.7,"center"
"17","BB",2023-06-29,40,20.1,7.7,"center"
"18","BB",2023-06-29,60,19.8,7.9,"center"
"19","BB",2023-06-29,80,19.6,7.8,"center"
"20","BB",2023-06-29,100,19.4,8,"center"
"21","BB",2023-06-29,120,19.3,7.9,"center"
"22","BB",2023-06-29,140,19.2,8.2,"center"
"23","BB",2023-06-29,160,19.2,7.4,"center"
"24","BB",2023-06-29,180,19.1,0,"center"
"25","BB",2023-06-29,200,18.9,0,"center"
"26","LB",2023-07-04,20,22.7,7.4,"center"
"27","LB",2023-07-04,40,22.5,7.1,"center"
"28","LB",2023-07-04,60,22.2,7.4,"center"
"29","LB",2023-07-04,80,22,7.4,"center"
"30","LB",2023-07-04,100,21.9,7.4,"center"
"31","LB",2023-07-04,120,21.6,7.2,"center"
"32","LB",2023-07-04,140,20.8,6.8,"center"
"33","LB",2023-07-04,160,19.9,6.2,"center"
"34","LB",2023-07-04,180,17.8,5.9,"center"
"35","LB",2023-07-04,200,16.1,5.3,"center"
"36","LB",2023-07-04,220,14.7,3.6,"center"
"37","BB",2023-07-04,20,23.9,7.7,"center"
"38","BB",2023-07-04,40,23.4,7.7,"center"
"39","BB",2023-07-04,60,23.1,7.9,"center"
"40","BB",2023-07-04,80,23,7.8,"center"
"41","BB",2023-07-04,100,22.9,7.8,"center"
"42","BB",2023-07-04,120,22.8,7.8,"center"
"43","BB",2023-07-04,140,22.7,7.4,"center"
"44","BB",2023-07-04,160,22.6,6.9,"center"
"45","KI",2023-07-05,20,21.4,8.4,"center"
"46","KI",2023-07-05,40,21.2,8.4,"center"
"47","KI",2023-07-05,60,21.1,8.5,"center"
"48","KI",2023-07-05,80,21.3,8.3,"center"
"49","KI",2023-07-05,100,21,8.4,"center"
"50","KI",2023-07-05,120,20.9,8.4,"center"
"51","KI",2023-07-05,140,20.9,8.4,"center"
"52","KI",2023-07-05,160,20.9,8.3,"center"
"53","KI",2023-07-05,180,20.9,8.2,"center"
"54","LB",2023-07-13,20,19.1,7.5,"center"
"55","LB",2023-07-13,40,19.3,7.2,"center"
"56","LB",2023-07-13,60,19.4,7.3,"center"
"57","LB",2023-07-13,80,19.4,7.4,"center"
"58","LB",2023-07-13,100,19.5,7.3,"center"
"59","LB",2023-07-13,120,19.5,7.1,"center"
"60","LB",2023-07-13,140,19.5,7.2,"center"
"61","LB",2023-07-13,160,19.5,6.9,"center"
"62","LB",2023-07-13,180,19.1,5.1,"center"
"63","LB",2023-07-13,200,17.2,2.8,"center"
"64","LB",2023-07-13,220,15.8,1.6,"center"
"65","LB",2023-07-13,240,14,NA,"center"
"66","BB",2023-07-16,20,19.8,8,"center"
"67","BB",2023-07-16,40,19.7,7.8,"center"
"68","BB",2023-07-16,60,19.7,7.8,"center"
"69","BB",2023-07-16,80,19.7,7.8,"center"
"70","BB",2023-07-16,100,19.7,7.8,"center"
"71","BB",2023-07-16,120,19.7,8,"center"
"72","BB",2023-07-16,140,19.7,7.8,"center"
"73","BB",2023-07-16,150,19.7,NA,"center"
"74","KI",2023-07-19,20,19.1,8.1,"center"
"75","KI",2023-07-19,40,19.1,7.8,"center"
"76","KI",2023-07-19,60,18.9,8.1,"center"
"77","KI",2023-07-19,80,18.8,8,"center"
"78","KI",2023-07-19,100,19,8,"center"
"79","KI",2023-07-19,120,18.9,7.9,"center"
"80","KI",2023-07-19,140,18.9,8,"center"
"81","KI",2023-07-19,160,18.9,7.9,"center"
"82","KI",2023-07-19,180,18.6,NA,"center"
"83","LB",2023-07-31,20,20.8,7.4,"center"
"84","LB",2023-07-31,40,20.8,7,"center"
"85","LB",2023-07-31,60,20.7,6.8,"center"
"86","LB",2023-07-31,80,20.7,6.8,"center"
"87","LB",2023-07-31,100,20.7,6.8,"center"
"88","LB",2023-07-31,120,20.6,6.6,"center"
"89","LB",2023-07-31,140,20.4,5.7,"center"
"90","LB",2023-07-31,160,19.8,3.6,"center"
"91","LB",2023-07-31,180,18.5,0.6,"center"
"92","LB",2023-07-31,200,17.3,0,"center"
"93","LB",2023-07-31,220,15.7,0,"center"
"94","LB",2023-07-31,240,13.4,0,"center"
"95","BB",2023-08-01,20,20.6,9.5,"center"
"96","BB",2023-08-01,40,20.7,9.6,"center"
"97","BB",2023-08-01,60,20.7,9.5,"center"
"98","BB",2023-08-01,80,20.7,9.5,"center"
"99","BB",2023-08-01,100,20.8,9.5,"center"
"100","BB",2023-08-01,120,20.7,9.5,"center"
"101","BB",2023-08-01,140,20.7,9.5,"center"
"102","BB",2023-08-01,160,20.7,9.2,"center"
