"","sampling_date","site","sampling_zone","microsite","org_material_perc","soil_type","ec_soil_uscm","ph_soil","n_percent","c_percent","nh4_mgkg_freshsoil","no3_mgkg_freshsoil","po4_mgkg_freshsoil","cn_ratio","first3","total_clay_mean","clay_sd","total_silt_mean","silt_sd","total_sand_mean","sand_sd"
"1","2024-08-28","BB","disturbed","BBS1",5.35731648,"mineral",39.93,4.9,0.09,1.17,6.574479737,2.013371538,0.669544701,13,"BBS",10.39,0.4,26.67,2.17,36.47,2.26
"2","2024-08-28","BB","undisturbed","BBI1",67.35679779,"organic",86.09,3.91,0.62,24.28,0.928258488,2.806112703,0.534408579,39.16129032,"BBI",NA,NA,NA,NA,NA,NA
"3","2024-08-28","BB","undisturbed","BBI4",53.4321137,"organic",72,4.08,0.99,27.04,3.423694779,2.395415473,3.082272332,27.31313131,"BBI",NA,NA,NA,NA,NA,NA
"4","2024-08-28","LB","undisturbed","LBI1",94.16058394,"organic",59.95,5.13,0.71,42.45,11.69861263,1.067812798,0.598689545,59.78873239,"LBI",NA,NA,NA,NA,NA,NA
"5","2024-08-28","BB","disturbed","BBS4",19.68606933,"mineral",115,4.2,0.43,11.91,1.446695874,2.003820439,0.828786185,27.69767442,"BBS",10.39,0.4,26.67,2.17,36.47,2.26
"6","2024-08-28","KI","disturbed","KIU2",71.6570262,"organic",606.8,6.25,1.6,31.52,16.47407813,2.003820439,0.521990665,19.7,"ELU",NA,NA,NA,NA,NA,NA
"7","2024-08-28","KI","undisturbed","KII1",68.2983683,"organic",94.7,6.99,1.63,32.95,25.85523914,0.957975167,0.64032608,20.21472393,"ELI",NA,NA,NA,NA,NA,NA
"8","2024-08-28","KI","undisturbed","KII4",58.53604106,"organic",63.6,7.56,1.45,26.62,17.62595838,1.511938873,0.692919598,18.35862069,"ELI",NA,NA,NA,NA,NA,NA
"9","2024-08-28","KI","undisturbed","KII2",69.9354081,"organic",202.1,7.47,1.62,30.16,26.40105878,0.098376313,1.433611641,18.61728395,"ELI",NA,NA,NA,NA,NA,NA
"10","2024-08-28","KI","disturbed","KIU3",81.90045249,"organic",367.3,4.17,2.35,36.56,30.3879153,1.17765043,0.622794907,15.55744681,"ELU",NA,NA,NA,NA,NA,NA
"11","2024-08-28","KI","undisturbed","KII3",51.66187936,"organic",105.4,6.83,1.27,24.27,31.80996714,1.373447947,1.478170038,19.11023622,"ELI",NA,NA,NA,NA,NA,NA
"12","2024-08-28","KI","undisturbed","KII4",68.47328244,"organic",156.5,7.78,1.05,31.95,18.01113545,0.547277937,0.939816945,30.42857143,"ELI",NA,NA,NA,NA,NA,NA
"13","2024-08-28","LB","undisturbed","LBI4",65.2084051,"organic",130.6,4.25,0.84,28.92,0.12,1.063037249,3.253931731,34.42857143,"LBI",NA,NA,NA,NA,NA,NA
"14","2024-08-28","BB","disturbed","BBS2",70.0204499,"organic",111.2,4.17,0.85,33.71,3.051296093,2.199617956,1.187444759,39.65882353,"BBS",NA,NA,NA,NA,NA,NA
"15","2024-08-28","BB","undisturbed","BBI3",83.39181287,"organic",147.4,3.94,1.12,44.45,0.12,1.382999045,0.512494613,39.6875,"BBI",NA,NA,NA,NA,NA,NA
"16","2024-08-28","LB","disturbed","LBS4",87.790111,"organic",98.87,4.45,1.32,42.71,6.238590727,1.70296084,0.998984653,32.35606061,"LBS",NA,NA,NA,NA,NA,NA
"17","2024-08-28","LB","disturbed","LBS2",34.5971564,"organic",55.91,6.46,0.78,17.25,30.18893757,1.860553964,3.817851117,22.11538462,"LBS",NA,NA,NA,NA,NA,NA
"18","2024-08-28","LB","undisturbed","LBI3",92.81385281,"organic",120.5,4.33,1.22,45.56,8.217415115,2.022922636,0.868231324,37.3442623,"LBI",NA,NA,NA,NA,NA,NA
"19","2024-08-28","KI","disturbed","KIL4",6.403031481,"mineral",454.4,7.66,0.12,1.36,6.10898138,1.846227316,1.928867267,11.33333333,"ELL",33.63,0.4,40.98,3.71,15.22,3.47
"20","2024-08-28","BB","undisturbed","BBI4",5.011885895,"mineral",43.35,4.36,0.1,1.45,6.881161008,1.325692455,3.020182762,14.5,"BBI",8.05,2.65,26.32,2.88,40.62,5.1
"21","2024-08-28","KI","disturbed","KIL1",8.81141046,"mineral",318.5,7.4,0.19,2.79,7.618656444,1.865329513,0.629369097,14.68421053,"ELL",33.63,0.4,40.98,3.71,15.22,3.47
"22","2024-08-28","LB","disturbed","LBS1",98.32089552,"organic",56.31,4.34,0.47,42.58,7.02354874,1.125119389,0.643247942,90.59574468,"LBS",NA,NA,NA,NA,NA,NA
"23","2024-08-28","KI","undisturbed","KII3",10.92918132,"mineral",196,8.06,0.21,3.98,15.46823658,1.239732569,0.549017889,18.95238095,"ELI",16.01,1.69,48.57,4.84,21.34,7.09
"24","2024-08-28","KI","undisturbed","KII2",25.39653264,"mineral",253,7.67,0.69,11.25,28.57338445,0.948424069,0.680501684,16.30434783,"ELI",16.01,1.69,48.57,4.84,21.34,7.09
"25","2024-08-28","BB","undisturbed","BBI3",8.616684266,"mineral",49.1,4.45,0.16,3.14,5.771266886,1.23495702,0.497885302,19.625,"BBI",8.05,2.65,26.32,2.88,40.62,5.1
"26","2024-08-28","LB","undisturbed","LBI4",12.07774799,"mineral",NA,NA,0.21,4.91,10.15607886,1.191977077,1.245882001,23.38095238,"LBI",17.34,0.13,40.84,0.65,27.86,0.68
"27","2024-08-28","BB","undisturbed","BBI1",7.024092297,"mineral",48.14,4.24,NA,NA,5.139649507,2.037249284,1.160417534,NA,"BBI",8.05,2.65,26.32,2.88,40.62,5.1
"28","2024-08-28","LB","undisturbed","LBI2",13.00010392,"mineral",72.4,4.83,0.18,3.99,12.80850675,1.363896848,0.836821306,22.16666667,"LBI",17.34,0.13,40.84,0.65,27.86,0.68
"29","2024-08-28","BB","disturbed","BBS2",7.168020706,"mineral",40.9,4.14,0.11,1.62,12.47444323,1.932187202,14.43224567,14.72727273,"BBS",10.39,0.4,26.67,2.17,36.47,2.26
