site,microsite,latitude,longitude,point_type,HOBO_templogger
KI,KII2,68.755507,-133.476292,flux collar,no
KI,KII3,68.755514,-133.476147,flux collar,yes
KI,KII4,68.755548,-133.476152,flux collar,no
KI,KII1,68.755487,-133.476366,flux collar,yes
KI,KIU4,68.755683,-133.47605,flux collar,yes
KI,KIU3,68.755657,-133.476563,flux collar,yes
KI,KIU2,68.755648,-133.47677,flux collar,no
KI,KIU1,68.75572,-133.476982,flux collar,no
KI,KIL1,68.755842,-133.476847,flux collar,no
KI,KIL2,68.755827,-133.476755,flux collar,yes
KI,KIL3,68.755895,-133.47648,flux collar,no
KI,KIL4,68.755936,-133.476216,flux collar,yes
LB,LBI1,68.73996,-133.51715,flux collar,yes
LB,LBI2,68.73999,-133.51715,flux collar,yes
LB,LBI3,68.74004,-133.51714,flux collar,no
LB,LBI4,68.74004,-133.51718,flux collar,no
LB,LBS1,68.73994,-133.517,flux collar,yes
LB,LBS2,68.73995,-133.517,flux collar,yes
LB,LBS3,68.74004,-133.51703,flux collar,no
LB,LBS4,68.74009,-133.51697,flux collar,no
BB,BBI1,68.74037,-133.52713,flux collar,no
BB,BBI2,68.74041,-133.52707,flux collar,yes
BB,BBI3,68.74036,-133.52701,flux collar,no
BB,BBI4,68.74034,-133.52704,flux collar,yes
BB,BBS1,68.74047,-133.52708,flux collar,yes
BB,BBS2,68.74046,-133.52702,flux collar,yes
BB,BBS3,68.74042,-133.52687,flux collar,no
BB,BBS4,68.74043,-133.52669,flux collar,no
