"","site","sampling_zone","disturbance","chamber_no","co2_mg_c_m2_h","ch4_mg_c_m2_h","n2o_mg_m2_h","tsurf_water_degc","cond_uscm.1","ph","do_mgl.1","area_km2","depth_m"
"1","BBL","2_center","undisturbed",1,12.2884067553771,0.235929610858118,-0.00795723910936803,23.9,120,8.1,7.7,0.0661,1.6
"2","BBL","2_center","undisturbed",2,-10.9379545638497,0.532263290711213,-0.00539326981346785,23.9,120,8.1,7.7,0.0661,1.6
"3","BBL","2_center","undisturbed",3,-4.82294254656449,0.137291076038864,-0.00704884868750527,23.9,120,8.1,7.7,0.0661,1.6
"4","BBL","2_center","undisturbed",4,10.885470824503,0.445561911769677,-0.00889012861941751,23.9,120,8.1,7.7,0.0661,1.6
"5","BBL","2_center","undisturbed",1,13.9845157645339,0.431511358459346,-0.000767666941937658,NA,NA,NA,NA,0.0661,1.6
"6","BBL","2_center","undisturbed",2,15.2346238822762,0.502672408085167,-0.00581233947008353,NA,NA,NA,NA,0.0661,1.6
"7","BBL","2_center","undisturbed",3,17.8144248313765,0.524306458417343,0.000703762765351627,NA,NA,NA,NA,0.0661,1.6
"8","BBL","2_center","undisturbed",4,11.7161026118087,0.277962779545515,-0.00571539923375424,NA,NA,NA,NA,0.0661,1.6
"9","BBL","2_center","undisturbed",1,-5.71891107570715,0.876032491298319,-0.019756803646323,20.9,130,8.9,9.5,0.0661,1.6
"10","BBL","2_center","undisturbed",2,-1.98629938027517,0.161043177855342,-0.0279906835017617,20.9,130,8.9,9.5,0.0661,1.6
"11","BBL","2_center","undisturbed",3,-0.154783015733495,0.393147595006432,-0.0179927371774843,20.9,130,8.9,9.5,0.0661,1.6
"12","BBL","2_center","undisturbed",4,7.13553158382184,0.356126571201658,-0.0270141851431728,20.9,130,8.9,9.5,0.0661,1.6
"13","BBL","1_disturbed","disturbed",1,12.6706685647014,0.920887195953081,0.00296399930695881,0,40,6.2,NA,0.0661,0.24
"14","BBL","1_disturbed","disturbed",2,5.92712395157878,0.262630860590836,0.0073119251742454,0,40,6.2,NA,0.0661,0.24
"15","BBL","1_disturbed","disturbed",3,13.9171124266551,0.225232551623288,0.224192474785298,0,40,6.2,NA,0.0661,0.24
"16","BBL","1_disturbed","disturbed",4,13.2811364994566,0.2060867782826,-0.000719704782941257,0,40,6.2,NA,0.0661,0.24
"17","BBL","1_disturbed","disturbed",1,-4.94840213855513,6.02457301187865,0.00575025210052694,1,60,6.9,NA,0.0661,0.24
"18","BBL","1_disturbed","disturbed",2,-6.07109244235974,0.199654547639353,0.00261274052361624,1,60,6.9,NA,0.0661,0.24
"19","BBL","1_disturbed","disturbed",3,-2.46230948155744,0.405496486770421,-4.42864076741174e-05,1,60,6.9,NA,0.0661,0.24
"20","BBL","1_disturbed","disturbed",4,-3.98960862717756,0.181693386691029,0.0145953474269421,1,60,6.9,NA,0.0661,0.24
"21","BBL","1_disturbed","disturbed",1,9.19222498658077,0.996501224725911,0.00104413115553991,9,90,8.4,NA,0.0661,0.24
"22","BBL","1_disturbed","disturbed",2,11.2910069381753,0.209517954725369,0.00176039418519506,9,90,8.4,NA,0.0661,0.24
"23","BBL","1_disturbed","disturbed",3,37.0655218589618,0.392592327115573,-0.000591770893628844,9,90,8.4,NA,0.0661,0.24
"24","BBL","1_disturbed","disturbed",4,21.6384247771676,0.222071274445595,0.00229556917904925,9,90,8.4,NA,0.0661,0.24
"25","BBL","1_disturbed","disturbed",1,0.0630866821592089,0.0777971555092653,-0.00545988844326335,19.8,100,7.3,3.1,0.0661,0.24
"26","BBL","1_disturbed","disturbed",2,5.75912759108673,0.1145523082416,-0.00262890354976986,19.8,100,7.3,3.1,0.0661,0.24
"27","BBL","1_disturbed","disturbed",3,3.40389979595359,0.0481689478595854,-0.00606048113678018,19.8,100,7.3,3.1,0.0661,0.24
"28","BBL","1_disturbed","disturbed",4,1.85730045353606,0.0715503722068095,0.000727927370645574,19.8,100,7.3,3.1,0.0661,0.24
"29","BBL","1_disturbed","disturbed",1,9.43047892709268,11.062891454197,0.0111470057640329,18.2,90,7.7,5.6,0.0661,0.24
"30","BBL","1_disturbed","disturbed",2,7.16109927246004,0.164250747761914,-0.0637628448344013,18.2,90,7.7,5.6,0.0661,0.24
